예보일시,시도명,시군구명,읍면동명,실효습도,풍속,등급
2017-02-10 13:00,경상남도,진주시,지수면,39.4,7.1,주의보
2017-02-10 13:00,경상남도,김해시,대동면,34.1,7,주의보
2017-02-10 13:00,경상남도,함안군,가야읍,40.2,8,주의보
2017-02-10 13:00,경상남도,함안군,가야읍,38,7.9,주의보
2017-02-10 13:00,경상남도,함안군,함안면,37.2,7.9,주의보
2017-02-10 13:00,경상남도,함안군,대산면,40.8,7.8,주의보
2017-02-10 13:00,경상남도,함안군,대산면,37.8,8.2,주의보
2017-02-10 13:00,경상남도,함안군,칠북면,34.8,8.1,주의보
2017-02-10 13:00,경상남도,함안군,칠원면,34.1,8.1,주의보
2017-02-10 13:00,경상남도,함안군,산인면,34.6,8.1,주의보
2017-02-10 13:00,경상남도,함안군,여항면,35.6,7.3,주의보
2017-02-10 13:00,경상남도,창녕군,남지읍,38.2,8,주의보
2017-02-10 13:00,경상남도,창녕군,영산면,40.2,7.2,주의보
2017-02-10 13:00,경상남도,창녕군,도천면,39.9,7.2,주의보
2017-02-10 13:00,경상남도,창녕군,길곡면,38.1,7.9,주의보
2017-02-10 13:00,경상남도,창녕군,부곡면,38.2,7.1,주의보
2017-02-10 13:00,경상남도,고성군,개천면,37.7,7.9,주의보
2017-02-10 13:00,경상남도,고성군,구만면,37.8,7.4,주의보
2017-02-10 13:00,경상남도,고성군,구만면,38.1,8.3,주의보
2017-02-10 13:00,경상남도,고성군,마암면,37.3,7,주의보
2017-02-10 14:00,대구광역시,달성군,유가면,35.8,7.3,주의보
2017-02-10 14:00,울산광역시,울주군,범서읍,34.7,7.1,주의보
2017-02-10 14:00,경상북도,경주시,천군동,37.1,8.6,주의보
2017-02-10 14:00,경상북도,경주시,내남면,36.9,7.2,주의보
2017-02-10 14:00,경상북도,경주시,내남면,37.4,8.3,주의보
2017-02-10 14:00,경상남도,창원시 마산합포구,진전면,36.9,7.3,주의보
2017-02-10 14:00,경상남도,진주시,이반성면,37.4,7.1,주의보
2017-02-10 14:00,경상남도,진주시,이반성면,38.2,7.6,주의보
2017-02-10 14:00,경상남도,거제시,고현동,38.7,7.2,주의보
2017-02-10 14:00,경상남도,거제시,사등면,38.6,7.1,주의보
2017-02-10 14:00,경상남도,거제시,연초면,37.2,7.1,주의보
2017-02-10 14:00,경상남도,고성군,개천면,37.3,7,주의보
2017-02-10 14:00,경상남도,고성군,구만면,37.3,7,주의보
2017-02-10 14:00,경상남도,고성군,구만면,37.7,7.5,주의보
2017-02-10 14:00,경상남도,고성군,회화면,36.2,7,주의보
2017-02-10 15:00,경상북도,경주시,천군동,36.6,8.2,주의보
2017-02-10 15:00,경상북도,청송군,청송읍,38.6,7.8,주의보
2017-02-10 15:00,경상남도,고성군,하이면,34.6,7.5,주의보
2017-02-10 16:00,경상북도,경주시,천군동,36.3,7.2,주의보
2017-02-11 15:00,경상남도,함안군,군북면,42,8.4,주의보
2017-02-11 18:00,경상남도,거제시,장목면,32.3,7,주의보
2017-02-12 14:00,전라남도,여수시,오림동,37.4,7.1,주의보
2017-02-12 14:00,전라남도,여수시,신기동,38.5,7,주의보
2017-02-12 14:00,전라남도,여수시,호명동,40,7,주의보
2017-02-12 16:00,전라남도,여수시,돌산읍,38.6,7.9,주의보
